,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,TLC,balanza_2005,balanza_2006,balanza_2007,balanza_2008,balanza_2009,balanza_2010,balanza_2011,balanza_2012,balanza_2013,balanza_2014,balanza_2015,balanza_2016,balanza_2017,balanza_2018,balanza_2019,balanza_2020,balanza_2021,balanza_2022,balanza_2023,balanza_2024,hdr_value
Tajikistan,328947.89783689834,1,1,1,1,0,1,0,1221106220.2867951,1555318261.4172034,2076176869.4108884,2312352020.668896,2830213848.620304,3719524540.86193,5161299725.276728,4979472364.453397,5642221099.177043,6522756255.012003,7633036903.076341,8448411318.254166,9112605459.328451,8271431485.0748415,6992416096.890184,7536402852.858016,7764999999.453624,8300813599.3084,8133963550.657425,8937805347.13963,10713525200.39978,12060602008.847782,0,10.514,6.558,-13.672,35.886,-8.944,-70.295,-34.441,33.488,44.232,45.792,16.318,12.644,9.488,23.821,29.025,45.736,51.446,92.308,114.839,182.906,126
Viet Nam,28555385.417556085,1,1,1,1,0,1,0,35064105500.83445,39552513231.91688,45427854693.25543,57633255738.19916,66371664817.043625,77414425532.24516,99130304099.12743,106014659565.21387,147201173196.97876,172595049183.9247,195590661129.24908,213708811665.34036,233451469642.51938,239258328381.7414,257096001177.98184,281353605986.90344,310106478394.6589,334365270496.66705,346615738537.7963,366474752771.00934,410324028883.32526,429716969043.5717,1,2737611.0,3002620.0,4368466.0,5767732.0,4779507.0,6321258.0,8380676.0,10226726.0,13917278.0,14344157.0,17970521.0,20155559.0,31573023.0,28996860.0,27106237.0,27964319.0,32763363.0,34238963.0,27537753.0,29880641.0,107
Albania,988109.9131967619,1,1,1,1,0,0,0,4348068242.195123,5611496257.142313,7184685781.518761,8052077248.146379,8896075004.635162,10677324852.882233,12881352893.68551,12044205549.65712,11926926615.801525,12890760315.146019,12319834195.331005,12776224496.97176,13228147516.116798,11386853113.0189,11861199830.83956,13019726211.736889,15379509891.719603,15585105131.064415,15241458744.868845,18032010563.7558,19017242585.78034,23547179830.441257,0,276.0,24.67,6.785,12.741,8.462,13.553,17.3,13.962,9.561,11.917,14.758,20.075,7.122,14.663,17.355,18.295,12.932,-10.186,131.258,208.835,74
Benin,94562.19170317857,1,1,1,1,0,0,0,4194342686.2178025,5349258094.482386,6190270380.498556,6567654954.38903,7034111314.888124,8169048382.838754,9787734526.23965,9738626517.003195,9535345011.48797,10693321370.03598,11141358105.985321,12517845127.677475,13284527850.263166,11388160997.108948,11821065852.12709,12701655845.961237,14262408079.701374,14391686309.032972,15651545208.878334,17690083519.932343,17401746309.265457,19676049075.70109,0,15.225,20.54,32.64,40.524,34.856,35.356,29.343,26.834,30.856,58.356,27.722,2.884,14.404,-18.043,23.105,7.496,15.728,19.564,22.38,21.664,173
Guinea,126816.18525483333,1,1,1,1,0,0,0,4301608752.513958,5025167975.263627,5300767960.515724,4282468636.9050093,4220019845.2665796,6281918226.340629,6964179983.181548,6716905339.732438,6853467145.530887,6785137203.331526,7638044556.846559,8376613539.282782,8778473372.821243,8794201742.846092,8595955222.497192,10324668271.136229,11857030366.78909,13442861496.44542,14088693742.94638,17069115737.825916,19910452541.92191,22199409741.25781,0,-146.538,-124.087,-117.782,16.192,28.112,-12.588,32.87,38.658,-128.392,-698.665,3.369,36.68,-29.965,-27.558,-25.973,-50.333,-6.422,-19.25,-23.646,-15.703,181
Guatemala,1384509.1282854492,1,1,1,1,0,0,0,20444205991.02497,21576351798.914482,23577298094.657066,26783389293.92199,29744246827.183907,33567850824.10393,38503720224.31663,37126148264.6383,40676578423.48709,46876006272.23869,49593929487.1263,52996446269.44204,57852153058.50199,62186064718.742386,66053403469.00244,71653754066.27628,73328365862.43286,77172317258.6478,77719464220.73003,86478835636.38132,95630524813.10605,104450210572.01225,1,415.69,449.905,305.678,249.477,228.258,189.614,123.851,222.996,234.973,-1.054,236.512,149.08,129.124,170.244,158.078,128.178,245.642,191.401,198.226,156.471,136
Malaysia,250270.05735548484,1,1,1,1,0,0,0,100845526315.78947,110202368421.05264,124749473684.21053,143534405818.50137,162692258307.0555,193549569477.73267,230811614370.38364,202257453036.6409,255017638455.5897,297951668674.83466,314443047642.11096,323276235524.41534,338066095097.2544,301355266964.9473,301256033870.33356,319109094160.3431,358788845712.5297,365177721021.5161,337456163961.2112,373784823672.9463,407605841348.2348,399705169318.47705,1,-1403468.0,-2015293.0,-2737973.0,-4114614.0,-3249237.0,-3416141.0,-4192686.0,-2072917.0,-2506895.0,-3512452.0,-875.955,27.078,-669.399,-1223373.0,-435.185,182.695,-352.173,-3775581.0,-5477066.0,-3539321.0,63
Thailand,803062.81453,1,1,1,1,0,0,1,134300904400.02177,152280615245.88742,172895685154.65817,189318408468.5952,221758296021.62064,262942621455.05292,291382982430.9515,281710630187.3191,341104766329.1696,370818739623.62195,397558325278.5791,420333654592.54706,407339040197.65125,401296238228.0839,413366349747.5081,456356813536.7637,506754208404.4847,543976691793.88586,500461898480.24554,506256494297.33966,495645210972.7507,514968699239.00476,1,692.051,915.858,711.787,1497459.0,1289541.0,2290990.0,3045606.0,2859190.0,2844099.0,2255013.0,1508826.0,1920198.0,2267519.0,2925886.0,2487122.0,1657026.0,1518291.0,707.474,181.59,505.317,66
Mali,1477787.3106596668,1,1,1,1,0,0,0,3908121307.019565,4714071979.688353,5454249125.729661,6247515888.145334,6905934217.909009,8156468826.126453,9838403100.505545,10231962390.211864,10689168016.261272,12995112690.2596,12442035339.104927,13242690786.093815,14364937124.072668,13104764378.325953,14026048335.704683,15365713048.199303,17070867589.905489,17280250810.032135,17465392764.370636,19309463508.037678,18780322203.7584,20661794596.08726,0,771.0,1.51,733.0,1.219,127.182,-87.664,-60.597,20.814,32.562,13.193,7.348,21.846,28.376,36.906,18.046,26.072,24.188,18.217,23.851,2.935,188
Mozambique,5604948.998691706,1,1,1,1,0,0,0,5950769426.602135,6583526860.580616,7937255565.357649,8868504899.946728,9509835536.93373,10811456005.94048,12920340964.65435,12263894790.012465,11411894723.864027,14619279988.71596,16688114144.074518,17198073057.198067,17978246586.066242,16208985769.614956,12069051237.171114,13264640645.77679,15017358952.845171,15512759046.671955,14235420174.18844,16168055475.444891,18883528581.3734,20954220983.547325,0,8.556,14.295,20.974,36.103,30.793,28.196,17.211,-22.348,77.825,72.372,55.855,20.014,-92.409,-172.035,-142.529,-63.513,2362633.0,-439.059,-669.509,-655.104,183
Sao Tome and Principe,0.106039875,0,0,0,1,0,0,0,85171073.87774976,102085769.12341939,114582283.91638164,136450662.39059213,142775104.0816256,149146918.88861105,188021165.00338,200668065.03175008,190021192.48953635,226455001.24308294,229371348.20260647,267041747.58435395,293119143.24682474,259999643.04738805,292267272.1969252,322002845.2293353,383717327.8305078,412976082.6207053,471229484.6071443,524402455.5481601,540809499.1893485,678976264.835436,0,-714.0,65.0,-205.0,75.0,76.0,4.954,42.0,7.0,-173.0,541.0,298.0,187.0,1.047,599.0,799.0,517.0,336.0,305.0,1.311,606.0,141
Montenegro,80312.06342923077,1,1,0,1,0,0,0,1284685050.524129,1707710053.1493838,2073234417.6806555,2257174480.7859716,2721903148.914816,3680711743.772242,4545674527.610957,4159330369.5470963,4142983843.491195,4544428421.495127,4087526241.812683,4465772400.37453,4593853290.963004,4054730077.577178,4376930578.323949,4856599480.79882,5506942238.356679,5542054181.126162,4769996866.007579,5861427505.124932,6229801580.791574,7530593375.220339,0,0.0,0.0,0.0,0.0,549.0,1.7,4.781,1.601,2.087,908.0,1.227,1.504,2.451,2.524,3.158,-839.0,-44.639,-317.19,-128.998,-84.471,50
